,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,20000000,1659176236,0x7508873fd3a5f475ed20f76799146e82ce2dba48cba0a7454dacea1a6cdb4053,293,0xba219d00ab4ea174ead8efa90c80e9d9f9990e221bf8e7da1881ec210edbb879,0x1d49a35b0029d1c40690a8c79bab6ed3c2864e63,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x16b9a82891338f9ba80e2d6970fdda79d1eb0dae,147074411555547571,Wrapped BNB,WBNB,18,42,247529,7000000000,228711,2365484,deprecated,6197827
1,20000000,1659176236,0x3d6bbd647265a6ee9d19305eddc907b2d998b3e41ea9db20ad4ecc21d43727f0,1342,0xba219d00ab4ea174ead8efa90c80e9d9f9990e221bf8e7da1881ec210edbb879,0x16b9a82891338f9ba80e2d6970fdda79d1eb0dae,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x10ed43c718714eb63d5aa57b78b54704e256024e,220105808045685982,Wrapped BNB,WBNB,18,45,1875243,7000000000,1659979,4101649,deprecated,6197827
2,20000000,1659176236,0x53c87bf3d6decf3a9dfa3c9ec400de64d98797b32b7954307039c03dbf5102af,979,0xba219d00ab4ea174ead8efa90c80e9d9f9990e221bf8e7da1881ec210edbb879,0x56871e92b1dd5f31cae46c2ed185b9cb2aeabbae,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x16b9a82891338f9ba80e2d6970fdda79d1eb0dae,93772491273925361,Wrapped BNB,WBNB,18,118,476091,5000000000,424410,11408336,deprecated,6197827
3,20000001,1659176239,0x56c860fedf685fa83a4e0613572977024f33177156010e6887ac06427dbc8b5a,20301,0x7c28164ccff5d0adb7c38cdab569c0b922b2b71fa1e22428a5f33ac4621bf5d0,0x16b9a82891338f9ba80e2d6970fdda79d1eb0dae,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xc78153b15ccc931205c62af311aebbb9751d354e,396868570952680827,Wrapped BNB,WBNB,18,16,865000,7600000000,211823,1576897,deprecated,6197826
4,20000001,1659176239,0x0bbaf167bbc8d51237b3bfccec99398f661148c56fcb94aa2ae4fe7878f68d77,140,0x7c28164ccff5d0adb7c38cdab569c0b922b2b71fa1e22428a5f33ac4621bf5d0,0x07896ba68050f768fe1b5ed007403338fa427808,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x16b9a82891338f9ba80e2d6970fdda79d1eb0dae,112174043296771663,Wrapped BNB,WBNB,18,18,265720,7000000000,231131,1984324,deprecated,6197826
5,20000001,1659176239,0xc9beb7da34c6a5f5becd21291b721ef88d9f05fa836186148e24bbff6140eeae,5755,0x7c28164ccff5d0adb7c38cdab569c0b922b2b71fa1e22428a5f33ac4621bf5d0,0x10ed43c718714eb63d5aa57b78b54704e256024e,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x16b9a82891338f9ba80e2d6970fdda79d1eb0dae,30000000000000000,Wrapped BNB,WBNB,18,19,218257,7000000000,181056,2165380,deprecated,6197826
6,20000001,1659176239,0x30a20a65368fda89695eefd3b8c3cffbad3596c902545c978f857582813c5eb6,39269,0x7c28164ccff5d0adb7c38cdab569c0b922b2b71fa1e22428a5f33ac4621bf5d0,0x16b9a82891338f9ba80e2d6970fdda79d1eb0dae,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x1368e2d14f39e609579b50aaac8e32d27c39e5c8,558119546019979009,Wrapped BNB,WBNB,18,46,1000000,5001106370,191677,6094980,deprecated,6197826
7,20000001,1659176239,0x0d0e162b3ece0263f1d9329e0a0c064009499ea50cda9ae04f48ebdd169ebbe0,1153,0x7c28164ccff5d0adb7c38cdab569c0b922b2b71fa1e22428a5f33ac4621bf5d0,0x16b9a82891338f9ba80e2d6970fdda79d1eb0dae,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x1a72de436d1386ea002c5180795a495e50a6d7a2,973215767360548399,Wrapped BNB,WBNB,18,85,217973,5000000000,187635,10444613,deprecated,6197826
8,20000001,1659176239,0xf17093f784079d25fd0dc530d157b40cfeca6e237319e9068b2744117d221c7c,26,0x7c28164ccff5d0adb7c38cdab569c0b922b2b71fa1e22428a5f33ac4621bf5d0,0x1370ee455b14a8b9945137ea4a9d00c3033e074a,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x16b9a82891338f9ba80e2d6970fdda79d1eb0dae,59536404483593481,Wrapped BNB,WBNB,18,121,508267,5000000000,289775,15382421,deprecated,6197826
9,20000002,1659176242,0x0d04efc952d72f42a02659d9447ae64c37c0842d35be0f388560d43664191c00,3192,0x1b21e1bd1efe683abeae0fac87162fb0668a2fb4fb7e36a91e92b009f66a3877,0x16b9a82891338f9ba80e2d6970fdda79d1eb0dae,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x10ed43c718714eb63d5aa57b78b54704e256024e,174410801995793662,Wrapped BNB,WBNB,18,17,165893,7000000000,137614,2279088,deprecated,6197825
